incident_id,equipment_id,date,problem,priority,description
47,318,2023-02-16,Не загружается ОС,Низкий,Проблема выявлена пользователем
48,106,2023-02-17,Артефакты на экране,Низкий,Проблема выявлена пользователем
49,363,2023-02-18,Сбой питания,Низкий,Инцидент повторяется регулярно
50,310,2023-02-19,Не работает интернет,Низкий,Инцидент повторяется регулярно
51,382,2023-02-20,Артефакты на экране,Низкий,Необходима диагностика
52,233,2023-02-21,Не работает интернет,Высокий,Инцидент повторяется регулярно
53,265,2023-02-22,Не загружается ОС,Высокий,Проблема выявлена пользователем
54,344,2023-02-23,Неисправность жесткого диска,Низкий,Инцидент повторяется регулярно
55,37,2023-02-24,Перегрев,Высокий,Требуется замена комплектующих
56,305,2023-02-25,Синий экран,Высокий,Требуется замена комплектующих
57,41,2023-02-26,Артефакты на экране,Средний,Необходима диагностика
58,17,2023-02-27,Синий экран,Низкий,Проблема выявлена пользователем
59,344,2023-02-28,Неисправность жесткого диска,Высокий,Требуется замена комплектующих
60,277,2023-03-01,Перегрев,Высокий,Инцидент повторяется регулярно
61,307,2023-03-02,Синий экран,Низкий,Требуется замена комплектующих
62,59,2023-03-03,Синий экран,Средний,Требуется замена комплектующих
63,423,2023-03-04,Артефакты на экране,Низкий,Необходима диагностика
64,183,2023-03-05,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
65,41,2023-03-06,Перегрев,Низкий,Инцидент повторяется регулярно
66,39,2023-03-07,Неисправность жесткого диска,Низкий,Инцидент повторяется регулярно
67,397,2023-03-08,Перегрев,Низкий,Необходима диагностика
68,192,2023-03-09,Не загружается ОС,Низкий,Инцидент повторяется регулярно
69,267,2023-03-10,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
70,494,2023-03-11,Не загружается ОС,Средний,Требуется замена комплектующих
71,147,2023-03-12,Неисправность жесткого диска,Высокий,Требуется замена комплектующих
72,395,2023-03-13,Артефакты на экране,Низкий,Инцидент повторяется регулярно
73,333,2023-03-14,Артефакты на экране,Средний,Проблема выявлена пользователем
74,127,2023-03-15,Неисправность жесткого диска,Средний,Проблема выявлена пользователем
75,46,2023-03-16,Не работает интернет,Средний,Инцидент повторяется регулярно
76,45,2023-03-17,Неисправность жесткого диска,Низкий,Проблема выявлена пользователем
77,1,2023-03-18,Проблемы с драйверами,Высокий,Необходима диагностика
78,168,2023-03-19,Сильные торможения,Средний,Требуется замена комплектующих
79,108,2023-03-20,Артефакты на экране,Низкий,Необходима диагностика
80,19,2023-03-21,Сбой питания,Средний,Требуется замена комплектующих
81,332,2023-03-22,Проблемы с драйверами,Средний,Проблема выявлена пользователем
82,72,2023-03-23,Проблемы с драйверами,Высокий,Проблема выявлена пользователем
83,456,2023-03-24,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
84,445,2023-03-25,Синий экран,Средний,Проблема выявлена пользователем
85,109,2023-03-26,Проблемы с драйверами,Низкий,Проблема выявлена пользователем
86,268,2023-03-27,Артефакты на экране,Низкий,Инцидент повторяется регулярно
87,445,2023-03-28,Сильные торможения,Высокий,Инцидент повторяется регулярно
88,240,2023-03-29,Сильные торможения,Низкий,Требуется замена комплектующих
89,417,2023-03-30,Проблемы с драйверами,Низкий,Проблема выявлена пользователем
90,301,2023-03-31,Не загружается ОС,Высокий,Требуется замена комплектующих
91,90,2023-04-01,Артефакты на экране,Средний,Требуется замена комплектующих
92,103,2023-04-02,Артефакты на экране,Высокий,Необходима диагностика
93,476,2023-04-03,Перегрев,Низкий,Проблема выявлена пользователем
94,250,2023-04-04,Не работает интернет,Высокий,Проблема выявлена пользователем
95,453,2023-04-05,Не работает интернет,Средний,Необходима диагностика
96,8,2023-04-06,Не загружается ОС,Высокий,Требуется замена комплектующих
97,153,2023-04-07,Не работает интернет,Низкий,Проблема выявлена пользователем
98,347,2023-04-08,Перегрев,Низкий,Требуется замена комплектующих
99,174,2023-04-09,Неисправность жесткого диска,Высокий,Необходима диагностика
100,343,2023-04-10,Не работает интернет,Средний,Инцидент повторяется регулярно
101,158,2023-04-11,Артефакты на экране,Высокий,Требуется замена комплектующих
102,493,2023-04-12,Неисправность жесткого диска,Средний,Проблема выявлена пользователем
103,431,2023-04-13,Не работает интернет,Средний,Инцидент повторяется регулярно
104,215,2023-04-14,Артефакты на экране,Высокий,Требуется замена комплектующих
105,177,2023-04-15,Артефакты на экране,Средний,Требуется замена комплектующих
106,175,2023-04-16,Проблемы с драйверами,Низкий,Инцидент повторяется регулярно
107,340,2023-04-17,Сильные торможения,Высокий,Инцидент повторяется регулярно
108,338,2023-04-18,Не загружается ОС,Средний,Инцидент повторяется регулярно
109,146,2023-04-19,Перегрев,Низкий,Проблема выявлена пользователем
110,450,2023-04-20,Синий экран,Высокий,Проблема выявлена пользователем
111,324,2023-04-21,Не работает интернет,Низкий,Требуется замена комплектующих
112,478,2023-04-22,Не работает интернет,Низкий,Требуется замена комплектующих
113,161,2023-04-23,Неисправность жесткого диска,Низкий,Необходима диагностика
114,127,2023-04-24,Неисправность жесткого диска,Средний,Проблема выявлена пользователем
115,420,2023-04-25,Не работает интернет,Высокий,Требуется замена комплектующих
116,82,2023-04-26,Сбой питания,Высокий,Инцидент повторяется регулярно
117,485,2023-04-27,Перегрев,Средний,Инцидент повторяется регулярно
118,147,2023-04-28,Не работает интернет,Высокий,Проблема выявлена пользователем
119,239,2023-04-29,Сильные торможения,Низкий,Инцидент повторяется регулярно
120,412,2023-04-30,Сбой питания,Высокий,Необходима диагностика
121,424,2023-05-01,Перегрев,Средний,Требуется замена комплектующих
122,84,2023-05-02,Не работает интернет,Низкий,Требуется замена комплектующих
123,113,2023-05-03,Синий экран,Средний,Требуется замена комплектующих
124,225,2023-05-04,Проблемы с драйверами,Низкий,Проблема выявлена пользователем
125,332,2023-05-05,Сильные торможения,Низкий,Инцидент повторяется регулярно
126,378,2023-05-06,Синий экран,Высокий,Необходима диагностика
127,243,2023-05-07,Неисправность жесткого диска,Низкий,Проблема выявлена пользователем
128,143,2023-05-08,Неисправность жесткого диска,Средний,Требуется замена комплектующих
129,41,2023-05-09,Не работает интернет,Высокий,Необходима диагностика
130,423,2023-05-10,Неисправность жесткого диска,Средний,Требуется замена комплектующих
131,258,2023-05-11,Сильные торможения,Низкий,Требуется замена комплектующих
132,447,2023-05-12,Перегрев,Средний,Проблема выявлена пользователем
133,285,2023-05-13,Артефакты на экране,Средний,Требуется замена комплектующих
134,105,2023-05-14,Не загружается ОС,Низкий,Необходима диагностика
135,202,2023-05-15,Перегрев,Высокий,Требуется замена комплектующих
136,450,2023-05-16,Артефакты на экране,Средний,Инцидент повторяется регулярно
137,307,2023-05-17,Сбой питания,Низкий,Требуется замена комплектующих
138,331,2023-05-18,Сильные торможения,Высокий,Проблема выявлена пользователем
139,461,2023-05-19,Синий экран,Высокий,Необходима диагностика
140,266,2023-05-20,Артефакты на экране,Высокий,Проблема выявлена пользователем
141,398,2023-05-21,Сильные торможения,Средний,Инцидент повторяется регулярно
142,210,2023-05-22,Проблемы с драйверами,Средний,Требуется замена комплектующих
143,51,2023-05-23,Синий экран,Средний,Проблема выявлена пользователем
144,118,2023-05-24,Неисправность жесткого диска,Высокий,Проблема выявлена пользователем
145,201,2023-05-25,Неисправность жесткого диска,Средний,Проблема выявлена пользователем
146,377,2023-05-26,Синий экран,Низкий,Проблема выявлена пользователем
147,39,2023-05-27,Сбой питания,Средний,Инцидент повторяется регулярно
148,28,2023-05-28,Сбой питания,Средний,Инцидент повторяется регулярно
149,259,2023-05-29,Сбой питания,Высокий,Требуется замена комплектующих
150,84,2023-05-30,Артефакты на экране,Средний,Требуется замена комплектующих
151,454,2023-05-31,Артефакты на экране,Низкий,Необходима диагностика
152,155,2023-06-01,Не работает интернет,Высокий,Инцидент повторяется регулярно
153,117,2023-06-02,Не загружается ОС,Низкий,Проблема выявлена пользователем
154,2,2023-06-03,Синий экран,Высокий,Проблема выявлена пользователем
155,93,2023-06-04,Перегрев,Высокий,Необходима диагностика
156,166,2023-06-05,Не загружается ОС,Средний,Проблема выявлена пользователем
157,387,2023-06-06,Проблемы с драйверами,Низкий,Необходима диагностика
158,400,2023-06-07,Артефакты на экране,Высокий,Требуется замена комплектующих
159,350,2023-06-08,Артефакты на экране,Средний,Инцидент повторяется регулярно
160,296,2023-06-09,Сильные торможения,Высокий,Необходима диагностика
161,258,2023-06-10,Не загружается ОС,Высокий,Проблема выявлена пользователем
162,81,2023-06-11,Сильные торможения,Высокий,Необходима диагностика
163,425,2023-06-12,Перегрев,Высокий,Требуется замена комплектующих
164,268,2023-06-13,Сильные торможения,Высокий,Проблема выявлена пользователем
165,419,2023-06-14,Не загружается ОС,Высокий,Требуется замена комплектующих
166,235,2023-06-15,Синий экран,Средний,Требуется замена комплектующих
167,321,2023-06-16,Проблемы с драйверами,Высокий,Необходима диагностика
168,311,2023-06-17,Артефакты на экране,Низкий,Требуется замена комплектующих
169,301,2023-06-18,Перегрев,Средний,Проблема выявлена пользователем
170,463,2023-06-19,Артефакты на экране,Низкий,Требуется замена комплектующих
171,474,2023-06-20,Не работает интернет,Высокий,Требуется замена комплектующих
172,357,2023-06-21,Проблемы с драйверами,Низкий,Необходима диагностика
173,213,2023-06-22,Сильные торможения,Высокий,Требуется замена комплектующих
174,62,2023-06-23,Неисправность жесткого диска,Высокий,Инцидент повторяется регулярно
175,49,2023-06-24,Не загружается ОС,Средний,Необходима диагностика
176,127,2023-06-25,Артефакты на экране,Средний,Необходима диагностика
177,223,2023-06-26,Сильные торможения,Высокий,Проблема выявлена пользователем
178,409,2023-06-27,Перегрев,Средний,Проблема выявлена пользователем
179,279,2023-06-28,Артефакты на экране,Низкий,Проблема выявлена пользователем
180,408,2023-06-29,Проблемы с драйверами,Средний,Проблема выявлена пользователем
181,294,2023-06-30,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
182,284,2023-07-01,Артефакты на экране,Низкий,Необходима диагностика
183,277,2023-07-02,Перегрев,Средний,Требуется замена комплектующих
184,438,2023-07-03,Проблемы с драйверами,Высокий,Проблема выявлена пользователем
185,107,2023-07-04,Проблемы с драйверами,Низкий,Проблема выявлена пользователем
186,146,2023-07-05,Не загружается ОС,Высокий,Проблема выявлена пользователем
187,420,2023-07-06,Перегрев,Низкий,Требуется замена комплектующих
188,99,2023-07-07,Перегрев,Высокий,Проблема выявлена пользователем
189,429,2023-07-08,Синий экран,Высокий,Требуется замена комплектующих
190,375,2023-07-09,Синий экран,Средний,Необходима диагностика
191,73,2023-07-10,Проблемы с драйверами,Высокий,Необходима диагностика
192,437,2023-07-11,Неисправность жесткого диска,Средний,Необходима диагностика
193,486,2023-07-12,Синий экран,Низкий,Инцидент повторяется регулярно
194,122,2023-07-13,Проблемы с драйверами,Высокий,Требуется замена комплектующих
195,30,2023-07-14,Сбой питания,Высокий,Проблема выявлена пользователем
196,188,2023-07-15,Не работает интернет,Низкий,Проблема выявлена пользователем
197,364,2023-07-16,Не работает интернет,Низкий,Проблема выявлена пользователем
198,354,2023-07-17,Перегрев,Высокий,Проблема выявлена пользователем
199,288,2023-07-18,Неисправность жесткого диска,Низкий,Инцидент повторяется регулярно
200,451,2023-07-19,Не загружается ОС,Средний,Проблема выявлена пользователем
201,195,2023-07-20,Синий экран,Низкий,Инцидент повторяется регулярно
202,156,2023-07-21,Сбой питания,Низкий,Требуется замена комплектующих
203,172,2023-07-22,Проблемы с драйверами,Высокий,Необходима диагностика
204,335,2023-07-23,Неисправность жесткого диска,Средний,Проблема выявлена пользователем
205,41,2023-07-24,Перегрев,Низкий,Необходима диагностика
206,63,2023-07-25,Синий экран,Средний,Требуется замена комплектующих
207,23,2023-07-26,Неисправность жесткого диска,Средний,Требуется замена комплектующих
208,360,2023-07-27,Синий экран,Средний,Проблема выявлена пользователем
209,75,2023-07-28,Не загружается ОС,Высокий,Требуется замена комплектующих
210,48,2023-07-29,Не загружается ОС,Низкий,Необходима диагностика
211,160,2023-07-30,Не работает интернет,Высокий,Проблема выявлена пользователем
212,313,2023-07-31,Сильные торможения,Низкий,Инцидент повторяется регулярно
213,118,2023-08-01,Сильные торможения,Низкий,Проблема выявлена пользователем
214,100,2023-08-02,Синий экран,Высокий,Необходима диагностика
215,380,2023-08-03,Сильные торможения,Средний,Проблема выявлена пользователем
216,417,2023-08-04,Перегрев,Средний,Проблема выявлена пользователем
217,408,2023-08-05,Сильные торможения,Низкий,Необходима диагностика
218,167,2023-08-06,Артефакты на экране,Высокий,Проблема выявлена пользователем
219,290,2023-08-07,Проблемы с драйверами,Средний,Проблема выявлена пользователем
220,440,2023-08-08,Перегрев,Средний,Необходима диагностика
221,156,2023-08-09,Неисправность жесткого диска,Низкий,Требуется замена комплектующих
222,421,2023-08-10,Перегрев,Низкий,Необходима диагностика
223,7,2023-08-11,Не работает интернет,Высокий,Проблема выявлена пользователем
224,196,2023-08-12,Неисправность жесткого диска,Низкий,Инцидент повторяется регулярно
225,421,2023-08-13,Сбой питания,Средний,Инцидент повторяется регулярно
226,56,2023-08-14,Проблемы с драйверами,Средний,Необходима диагностика
227,321,2023-08-15,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
228,193,2023-08-16,Проблемы с драйверами,Средний,Проблема выявлена пользователем
229,47,2023-08-17,Проблемы с драйверами,Высокий,Проблема выявлена пользователем
230,148,2023-08-18,Синий экран,Высокий,Необходима диагностика
231,275,2023-08-19,Проблемы с драйверами,Низкий,Проблема выявлена пользователем
232,157,2023-08-20,Проблемы с драйверами,Низкий,Требуется замена комплектующих
233,202,2023-08-21,Проблемы с драйверами,Низкий,Проблема выявлена пользователем
234,444,2023-08-22,Синий экран,Высокий,Необходима диагностика
235,402,2023-08-23,Не загружается ОС,Средний,Требуется замена комплектующих
236,476,2023-08-24,Перегрев,Низкий,Требуется замена комплектующих
237,419,2023-08-25,Перегрев,Средний,Инцидент повторяется регулярно
238,427,2023-08-26,Неисправность жесткого диска,Низкий,Проблема выявлена пользователем
239,495,2023-08-27,Артефакты на экране,Низкий,Необходима диагностика
240,479,2023-08-28,Перегрев,Низкий,Инцидент повторяется регулярно
241,475,2023-08-29,Сильные торможения,Низкий,Инцидент повторяется регулярно
242,126,2023-08-30,Артефакты на экране,Низкий,Проблема выявлена пользователем
243,395,2023-08-31,Проблемы с драйверами,Средний,Проблема выявлена пользователем
244,305,2023-09-01,Проблемы с драйверами,Низкий,Необходима диагностика
245,369,2023-09-02,Синий экран,Средний,Инцидент повторяется регулярно
246,294,2023-09-03,Артефакты на экране,Высокий,Необходима диагностика
247,64,2023-09-04,Сильные торможения,Низкий,Инцидент повторяется регулярно
248,325,2023-09-05,Синий экран,Средний,Инцидент повторяется регулярно
249,392,2023-09-06,Неисправность жесткого диска,Высокий,Инцидент повторяется регулярно
250,418,2023-09-07,Артефакты на экране,Высокий,Проблема выявлена пользователем
251,176,2023-09-08,Проблемы с драйверами,Высокий,Инцидент повторяется регулярно
252,116,2023-09-09,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
253,440,2023-09-10,Не работает интернет,Низкий,Инцидент повторяется регулярно
254,204,2023-09-11,Синий экран,Низкий,Требуется замена комплектующих
255,486,2023-09-12,Не загружается ОС,Средний,Проблема выявлена пользователем
256,321,2023-09-13,Не загружается ОС,Низкий,Требуется замена комплектующих
257,31,2023-09-14,Синий экран,Средний,Проблема выявлена пользователем
258,388,2023-09-15,Сбой питания,Низкий,Необходима диагностика
259,113,2023-09-16,Синий экран,Высокий,Требуется замена комплектующих
260,365,2023-09-17,Неисправность жесткого диска,Низкий,Необходима диагностика
261,434,2023-09-18,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
262,325,2023-09-19,Сильные торможения,Средний,Необходима диагностика
263,414,2023-09-20,Сбой питания,Высокий,Необходима диагностика
264,376,2023-09-21,Артефакты на экране,Средний,Необходима диагностика
265,344,2023-09-22,Сбой питания,Низкий,Необходима диагностика
266,443,2023-09-23,Сильные торможения,Низкий,Проблема выявлена пользователем
267,67,2023-09-24,Не работает интернет,Высокий,Требуется замена комплектующих
268,75,2023-09-25,Проблемы с драйверами,Средний,Проблема выявлена пользователем
269,45,2023-09-26,Не загружается ОС,Высокий,Проблема выявлена пользователем
270,260,2023-09-27,Синий экран,Низкий,Проблема выявлена пользователем
271,154,2023-09-28,Синий экран,Высокий,Необходима диагностика
272,155,2023-09-29,Не загружается ОС,Средний,Проблема выявлена пользователем
273,430,2023-09-30,Сбой питания,Высокий,Требуется замена комплектующих
274,363,2023-10-01,Проблемы с драйверами,Средний,Проблема выявлена пользователем
275,448,2023-10-02,Перегрев,Средний,Инцидент повторяется регулярно
276,475,2023-10-03,Неисправность жесткого диска,Низкий,Необходима диагностика
277,234,2023-10-04,Сильные торможения,Низкий,Инцидент повторяется регулярно
278,51,2023-10-05,Сбой питания,Низкий,Требуется замена комплектующих
279,306,2023-10-06,Артефакты на экране,Средний,Требуется замена комплектующих
280,262,2023-10-07,Не работает интернет,Высокий,Требуется замена комплектующих
281,315,2023-10-08,Синий экран,Средний,Требуется замена комплектующих
282,125,2023-10-09,Сбой питания,Низкий,Проблема выявлена пользователем
283,399,2023-10-10,Не работает интернет,Низкий,Необходима диагностика
284,245,2023-10-11,Сильные торможения,Высокий,Требуется замена комплектующих
285,30,2023-10-12,Синий экран,Низкий,Инцидент повторяется регулярно
286,426,2023-10-13,Синий экран,Низкий,Требуется замена комплектующих
287,485,2023-10-14,Перегрев,Низкий,Необходима диагностика
288,122,2023-10-15,Сбой питания,Высокий,Инцидент повторяется регулярно
289,125,2023-10-16,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
290,37,2023-10-17,Не загружается ОС,Низкий,Инцидент повторяется регулярно
291,170,2023-10-18,Не загружается ОС,Высокий,Проблема выявлена пользователем
292,124,2023-10-19,Неисправность жесткого диска,Низкий,Требуется замена комплектующих
293,357,2023-10-20,Артефакты на экране,Высокий,Проблема выявлена пользователем
294,35,2023-10-21,Не работает интернет,Низкий,Инцидент повторяется регулярно
295,87,2023-10-22,Сбой питания,Высокий,Проблема выявлена пользователем
296,134,2023-10-23,Артефакты на экране,Низкий,Проблема выявлена пользователем
297,196,2023-10-24,Перегрев,Средний,Проблема выявлена пользователем
298,274,2023-10-25,Синий экран,Низкий,Требуется замена комплектующих
299,201,2023-10-26,Проблемы с драйверами,Высокий,Инцидент повторяется регулярно
300,369,2023-10-27,Сбой питания,Низкий,Инцидент повторяется регулярно
301,285,2023-10-28,Артефакты на экране,Средний,Требуется замена комплектующих
302,77,2023-10-29,Артефакты на экране,Низкий,Проблема выявлена пользователем
303,59,2023-10-30,Проблемы с драйверами,Высокий,Проблема выявлена пользователем
304,431,2023-10-31,Неисправность жесткого диска,Высокий,Необходима диагностика
305,126,2023-11-01,Не работает интернет,Средний,Необходима диагностика
306,500,2023-11-02,Не работает интернет,Высокий,Необходима диагностика
307,401,2023-11-03,Артефакты на экране,Низкий,Требуется замена комплектующих
308,109,2023-11-04,Сильные торможения,Низкий,Инцидент повторяется регулярно
309,224,2023-11-05,Артефакты на экране,Низкий,Необходима диагностика
310,496,2023-11-06,Артефакты на экране,Высокий,Инцидент повторяется регулярно
311,278,2023-11-07,Проблемы с драйверами,Низкий,Инцидент повторяется регулярно
312,68,2023-11-08,Синий экран,Низкий,Инцидент повторяется регулярно
313,69,2023-11-09,Проблемы с драйверами,Низкий,Требуется замена комплектующих
314,165,2023-11-10,Сбой питания,Средний,Требуется замена комплектующих
315,489,2023-11-11,Артефакты на экране,Высокий,Требуется замена комплектующих
316,305,2023-11-12,Не работает интернет,Высокий,Требуется замена комплектующих
317,397,2023-11-13,Не работает интернет,Высокий,Необходима диагностика
318,162,2023-11-14,Не загружается ОС,Средний,Проблема выявлена пользователем
319,365,2023-11-15,Неисправность жесткого диска,Высокий,Проблема выявлена пользователем
320,342,2023-11-16,Перегрев,Средний,Проблема выявлена пользователем
321,309,2023-11-17,Сбой питания,Средний,Необходима диагностика
322,379,2023-11-18,Сбой питания,Высокий,Проблема выявлена пользователем
323,343,2023-11-19,Неисправность жесткого диска,Низкий,Необходима диагностика
324,435,2023-11-20,Перегрев,Низкий,Необходима диагностика
325,387,2023-11-21,Синий экран,Высокий,Необходима диагностика
326,42,2023-11-22,Артефакты на экране,Высокий,Проблема выявлена пользователем
327,354,2023-11-23,Перегрев,Средний,Инцидент повторяется регулярно
328,416,2023-11-24,Сильные торможения,Высокий,Проблема выявлена пользователем
329,109,2023-11-25,Не загружается ОС,Средний,Проблема выявлена пользователем
330,51,2023-11-26,Перегрев,Высокий,Требуется замена комплектующих
331,250,2023-11-27,Перегрев,Низкий,Необходима диагностика
332,497,2023-11-28,Не загружается ОС,Низкий,Инцидент повторяется регулярно
333,341,2023-11-29,Артефакты на экране,Высокий,Требуется замена комплектующих
334,430,2023-11-30,Перегрев,Средний,Инцидент повторяется регулярно
335,383,2023-12-01,Не загружается ОС,Низкий,Инцидент повторяется регулярно
336,492,2023-12-02,Не загружается ОС,Средний,Необходима диагностика
337,21,2023-12-03,Не загружается ОС,Высокий,Проблема выявлена пользователем
338,300,2023-12-04,Проблемы с драйверами,Высокий,Необходима диагностика
339,139,2023-12-05,Проблемы с драйверами,Низкий,Необходима диагностика
340,359,2023-12-06,Сильные торможения,Высокий,Требуется замена комплектующих
341,324,2023-12-07,Синий экран,Низкий,Необходима диагностика
342,499,2023-12-08,Проблемы с драйверами,Средний,Проблема выявлена пользователем
343,385,2023-12-09,Проблемы с драйверами,Низкий,Инцидент повторяется регулярно
344,92,2023-12-10,Синий экран,Низкий,Необходима диагностика
345,447,2023-12-11,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно
346,280,2023-12-12,Не загружается ОС,Низкий,Необходима диагностика
347,125,2023-12-13,Сбой питания,Низкий,Инцидент повторяется регулярно
348,483,2023-12-14,Синий экран,Высокий,Необходима диагностика
349,397,2023-12-15,Сильные торможения,Средний,Требуется замена комплектующих
350,111,2023-12-16,Артефакты на экране,Низкий,Инцидент повторяется регулярно
351,354,2023-12-17,Сильные торможения,Средний,Необходима диагностика
352,139,2023-12-18,Не загружается ОС,Средний,Необходима диагностика
353,484,2023-12-19,Синий экран,Низкий,Требуется замена комплектующих
354,435,2023-12-20,Сильные торможения,Высокий,Требуется замена комплектующих
355,273,2023-12-21,Сильные торможения,Средний,Требуется замена комплектующих
356,99,2023-12-22,Неисправность жесткого диска,Низкий,Инцидент повторяется регулярно
357,252,2023-12-23,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно
358,338,2023-12-24,Синий экран,Высокий,Требуется замена комплектующих
359,104,2023-12-25,Не загружается ОС,Высокий,Проблема выявлена пользователем
360,214,2023-12-26,Проблемы с драйверами,Высокий,Проблема выявлена пользователем
361,249,2023-12-27,Не работает интернет,Низкий,Необходима диагностика
362,152,2023-12-28,Перегрев,Низкий,Проблема выявлена пользователем
363,250,2023-12-29,Сбой питания,Высокий,Необходима диагностика
364,275,2023-12-30,Перегрев,Низкий,Инцидент повторяется регулярно
365,165,2023-12-31,Неисправность жесткого диска,Высокий,Инцидент повторяется регулярно
366,487,2024-01-01,Синий экран,Низкий,Проблема выявлена пользователем
367,341,2024-01-02,Перегрев,Высокий,Инцидент повторяется регулярно
