incident_id,equipment_id,date,problem,priority,description,type,cpu,ram_gb,storage,purchase_year,wear_percent,status
1942,312,2028-04-25,Не загружается ОС,Низкий,Инцидент повторяется регулярно,Моноблок,i5,4,HDD 500GB,2019,58,На списание
28,177,2023-01-28,Синий экран,Низкий,Требуется замена комплектующих,Моноблок,Ryzen 7,4,SSD 512GB,2019,34,Работает
105,177,2023-04-15,Артефакты на экране,Средний,Требуется замена комплектующих,Моноблок,Ryzen 7,4,SSD 512GB,2019,34,Работает
673,177,2024-11-03,Проблемы с драйверами,Высокий,Необходима диагностика,Моноблок,Ryzen 7,4,SSD 512GB,2019,34,Работает
1503,177,2027-02-11,Не загружается ОС,Низкий,Проблема выявлена пользователем,Моноблок,Ryzen 7,4,SSD 512GB,2019,34,Работает
1786,177,2027-11-21,Синий экран,Средний,Требуется замена комплектующих,Моноблок,Ryzen 7,4,SSD 512GB,2019,34,Работает
29,141,2023-01-29,Не работает интернет,Низкий,Требуется замена комплектующих,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
504,141,2024-05-18,Проблемы с драйверами,Средний,Необходима диагностика,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
671,141,2024-11-01,Сбой питания,Высокий,Инцидент повторяется регулярно,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
1034,141,2025-10-30,Не загружается ОС,Низкий,Требуется замена комплектующих,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
1081,141,2025-12-16,Сбой питания,Средний,Необходима диагностика,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
1332,141,2026-08-24,Сбой питания,Низкий,Проблема выявлена пользователем,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
1462,141,2027-01-01,Сбой питания,Низкий,Инцидент повторяется регулярно,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
1821,141,2027-12-26,Проблемы с драйверами,Высокий,Проблема выявлена пользователем,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
1890,141,2028-03-04,Неисправность жесткого диска,Низкий,Необходима диагностика,Моноблок,Ryzen 7,16,HDD 500GB,2021,91,Требует ремонта
30,189,2023-01-30,Неисправность жесткого диска,Средний,Необходима диагностика,Ноутбук,i3,8,SSD 256GB,2017,50,На списание
459,189,2024-04-03,Не работает интернет,Средний,Требуется замена комплектующих,Ноутбук,i3,8,SSD 256GB,2017,50,На списание
1196,189,2026-04-10,Сильные торможения,Средний,Проблема выявлена пользователем,Ноутбук,i3,8,SSD 256GB,2017,50,На списание
1370,189,2026-10-01,Неисправность жесткого диска,Средний,Требуется замена комплектующих,Ноутбук,i3,8,SSD 256GB,2017,50,На списание
31,486,2023-01-31,Перегрев,Средний,Требуется замена комплектующих,Ноутбук,i7,4,HDD 500GB,2020,66,На списание
193,486,2023-07-12,Синий экран,Низкий,Инцидент повторяется регулярно,Ноутбук,i7,4,HDD 500GB,2020,66,На списание
255,486,2023-09-12,Не загружается ОС,Средний,Проблема выявлена пользователем,Ноутбук,i7,4,HDD 500GB,2020,66,На списание
32,49,2023-02-01,Неисправность жесткого диска,Высокий,Проблема выявлена пользователем,Ноутбук,i5,32,HDD 500GB,2016,28,Требует ремонта
175,49,2023-06-24,Не загружается ОС,Средний,Необходима диагностика,Ноутбук,i5,32,HDD 500GB,2016,28,Требует ремонта
633,49,2024-09-24,Артефакты на экране,Средний,Необходима диагностика,Ноутбук,i5,32,HDD 500GB,2016,28,Требует ремонта
780,49,2025-02-18,Сильные торможения,Высокий,Необходима диагностика,Ноутбук,i5,32,HDD 500GB,2016,28,Требует ремонта
927,49,2025-07-15,Не работает интернет,Низкий,Инцидент повторяется регулярно,Ноутбук,i5,32,HDD 500GB,2016,28,Требует ремонта
1341,49,2026-09-02,Неисправность жесткого диска,Низкий,Инцидент повторяется регулярно,Ноутбук,i5,32,HDD 500GB,2016,28,Требует ремонта
1987,49,2028-06-09,Синий экран,Средний,Проблема выявлена пользователем,Ноутбук,i5,32,HDD 500GB,2016,28,Требует ремонта
33,302,2023-02-02,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно,ПК,Ryzen 5,16,HDD 1TB,2021,19,Требует ремонта
970,302,2025-08-27,Перегрев,Низкий,Необходима диагностика,ПК,Ryzen 5,16,HDD 1TB,2021,19,Требует ремонта
1778,302,2027-11-13,Не загружается ОС,Средний,Необходима диагностика,ПК,Ryzen 5,16,HDD 1TB,2021,19,Требует ремонта
34,369,2023-02-03,Артефакты на экране,Высокий,Требуется замена комплектующих,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
245,369,2023-09-02,Синий экран,Средний,Инцидент повторяется регулярно,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
300,369,2023-10-27,Сбой питания,Низкий,Инцидент повторяется регулярно,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
446,369,2024-03-21,Сбой питания,Высокий,Инцидент повторяется регулярно,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
1359,369,2026-09-20,Синий экран,Средний,Необходима диагностика,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
1580,369,2027-04-29,Синий экран,Низкий,Инцидент повторяется регулярно,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
1633,369,2027-06-21,Не работает интернет,Средний,Требуется замена комплектующих,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
1687,369,2027-08-14,Артефакты на экране,Высокий,Проблема выявлена пользователем,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
1792,369,2027-11-27,Артефакты на экране,Низкий,Инцидент повторяется регулярно,Ноутбук,i7,4,HDD 1TB,2021,22,Работает
35,190,2023-02-04,Артефакты на экране,Высокий,Требуется замена комплектующих,Моноблок,i3,16,HDD 500GB,2019,15,Требует ремонта
1254,190,2026-06-07,Не работает интернет,Низкий,Требуется замена комплектующих,Моноблок,i3,16,HDD 500GB,2019,15,Требует ремонта
37,43,2023-02-06,Проблемы с драйверами,Высокий,Необходима диагностика,Моноблок,i5,16,SSD 512GB,2021,48,На списание
853,43,2025-05-02,Проблемы с драйверами,Средний,Инцидент повторяется регулярно,Моноблок,i5,16,SSD 512GB,2021,48,На списание
1361,43,2026-09-22,Артефакты на экране,Низкий,Требуется замена комплектующих,Моноблок,i5,16,SSD 512GB,2021,48,На списание
1398,43,2026-10-29,Не загружается ОС,Низкий,Инцидент повторяется регулярно,Моноблок,i5,16,SSD 512GB,2021,48,На списание
1624,43,2027-06-12,Сбой питания,Низкий,Требуется замена комплектующих,Моноблок,i5,16,SSD 512GB,2021,48,На списание
38,404,2023-02-07,Сбой питания,Высокий,Требуется замена комплектующих,Моноблок,Ryzen 7,32,SSD 512GB,2021,55,Требует ремонта
1100,404,2026-01-04,Сильные торможения,Низкий,Проблема выявлена пользователем,Моноблок,Ryzen 7,32,SSD 512GB,2021,55,Требует ремонта
1126,404,2026-01-30,Не работает интернет,Низкий,Инцидент повторяется регулярно,Моноблок,Ryzen 7,32,SSD 512GB,2021,55,Требует ремонта
1475,404,2027-01-14,Сильные торможения,Высокий,Требуется замена комплектующих,Моноблок,Ryzen 7,32,SSD 512GB,2021,55,Требует ремонта
40,353,2023-02-09,Сильные торможения,Средний,Необходима диагностика,Моноблок,i5,4,HDD 500GB,2017,82,Работает
1690,353,2027-08-17,Не работает интернет,Средний,Требуется замена комплектующих,Моноблок,i5,4,HDD 500GB,2017,82,Работает
41,90,2023-02-10,Не загружается ОС,Низкий,Требуется замена комплектующих,ПК,Ryzen 5,4,HDD 1TB,2021,45,Требует ремонта
91,90,2023-04-01,Артефакты на экране,Средний,Требуется замена комплектующих,ПК,Ryzen 5,4,HDD 1TB,2021,45,Требует ремонта
888,90,2025-06-06,Проблемы с драйверами,Низкий,Инцидент повторяется регулярно,ПК,Ryzen 5,4,HDD 1TB,2021,45,Требует ремонта
905,90,2025-06-23,Неисправность жесткого диска,Низкий,Требуется замена комплектующих,ПК,Ryzen 5,4,HDD 1TB,2021,45,Требует ремонта
1003,90,2025-09-29,Перегрев,Высокий,Инцидент повторяется регулярно,ПК,Ryzen 5,4,HDD 1TB,2021,45,Требует ремонта
42,295,2023-02-11,Сильные торможения,Высокий,Проблема выявлена пользователем,ПК,i5,32,SSD 512GB,2019,18,Работает
562,295,2024-07-15,Не загружается ОС,Низкий,Инцидент повторяется регулярно,ПК,i5,32,SSD 512GB,2019,18,Работает
575,295,2024-07-28,Артефакты на экране,Средний,Проблема выявлена пользователем,ПК,i5,32,SSD 512GB,2019,18,Работает
1521,295,2027-03-01,Сильные торможения,Высокий,Инцидент повторяется регулярно,ПК,i5,32,SSD 512GB,2019,18,Работает
1686,295,2027-08-13,Синий экран,Низкий,Требуется замена комплектующих,ПК,i5,32,SSD 512GB,2019,18,Работает
1789,295,2027-11-24,Перегрев,Средний,Необходима диагностика,ПК,i5,32,SSD 512GB,2019,18,Работает
1904,295,2028-03-18,Неисправность жесткого диска,Высокий,Требуется замена комплектующих,ПК,i5,32,SSD 512GB,2019,18,Работает
43,341,2023-02-12,Сильные торможения,Средний,Необходима диагностика,ПК,Ryzen 7,4,HDD 500GB,2019,37,Требует ремонта
333,341,2023-11-29,Артефакты на экране,Высокий,Требуется замена комплектующих,ПК,Ryzen 7,4,HDD 500GB,2019,37,Требует ремонта
367,341,2024-01-02,Перегрев,Высокий,Инцидент повторяется регулярно,ПК,Ryzen 7,4,HDD 500GB,2019,37,Требует ремонта
1608,341,2027-05-27,Не работает интернет,Средний,Инцидент повторяется регулярно,ПК,Ryzen 7,4,HDD 500GB,2019,37,Требует ремонта
